2026-03-08 00:33:06,080 | GoogleMapsScraper    | INFO     |   [87/200] Extracting: https://www.google.com/maps/place/NV+Restaurant+%26+Bar+-+199+Street/data=!4m7!3…
2026-03-08 00:33:12,618 | GoogleMapsScraper    | INFO     |   [88/200] Extracting: https://www.google.com/maps/place/Five+%26+Dive/data=!4m7!3m6!1s0x53a021979fa736…
2026-03-08 00:33:38,436 | GoogleMapsScraper    | INFO     |   [89/200] Extracting: https://www.google.com/maps/place/Chop+Steakhouse+%26+Bar/data=!4m7!3m6!1s0x53a0…
2026-03-08 00:33:54,987 | GoogleMapsScraper    | INFO     |   [90/200] Extracting: https://www.google.com/maps/place/The+Parlour+Italian+Kitchen+%26+Bar/data=!4m7!…
2026-03-08 00:34:02,786 | GoogleMapsScraper    | INFO     |   [91/200] Extracting: https://www.google.com/maps/place/Tiramisu+Bistro/data=!4m7!3m6!1s0x4163a34aedd7…
2026-03-08 00:34:09,349 | GoogleMapsScraper    | INFO     |   [92/200] Extracting: https://www.google.com/maps/place/The+Glass+Monkey/data=!4m7!3m6!1s0x53a01f50830…
2026-03-08 00:34:16,895 | GoogleMapsScraper    | INFO     |   [93/200] Extracting: https://www.google.com/maps/place/The+Harvest+Room+%26+Terrace/data=!4m7!3m6!1s0…
2026-03-08 00:34:24,694 | GoogleMapsScraper    | INFO     |   [94/200] Extracting: https://www.google.com/maps/place/Sawmill+Prime+Rib+%26+Steak+House/data=!4m7!3m…
2026-03-08 00:34:39,558 | GoogleMapsScraper    | INFO     |   [95/200] Extracting: https://www.google.com/maps/place/VP+Kitchen+and+Lounge/data=!4m7!3m6!1s0x53a019…
2026-03-08 00:34:45,589 | GoogleMapsScraper    | INFO     |   [96/200] Extracting: https://www.google.com/maps/place/Route+99+Diner/data=!4m7!3m6!1s0x53a02212d3569…
2026-03-08 00:35:08,486 | GoogleMapsScraper    | INFO     |   [97/200] Extracting: https://www.google.com/maps/place/Jay+Bee%27s+Diner/data=!4m7!3m6!1s0x53a0251658…
2026-03-08 00:35:17,555 | GoogleMapsScraper    | INFO     |   [98/200] Extracting: https://www.google.com/maps/place/Hathaway%E2%80%99s+Diner+-+Downtown+Edmonton/d…
2026-03-08 00:35:41,456 | GoogleMapsScraper    | INFO     |   [99/200] Extracting: https://www.google.com/maps/place/Ken%27s+Diner/data=!4m7!3m6!1s0x53a03b98819280…
